calories,fat,carb
350,8,67
350,9,64
420,20,59
490,19,75
130,6,17
370,14,47
460,22,61
370,14,55
310,18,32
420,25,39
380,17,51
320,12,53
300,17,34
420,21,57
310,5,52
480,18,70
490,18,73
410,24,46
130,7,16
280,2,56
360,12,58
490,23,67
420,25,42
440,18,59
350,13,54
210,4,43
350,16,45
300,3,60
420,21,57
370,14,56
140,5,21
280,1,59
390,14,61
480,17,78
480,25,59
430,16,69
400,8,80
340,9,62
350,10,59
440,19,63
490,28,52
480,28,39
270,8,29
360,19,32
380,15,35
380,19,37
420,26,22
350,11,50
380,21,25
180,7,27
170,9,22
190,12,24
170,7,24
190,11,23
180,10,23
160,8,24
190,11,21
170,9,22
350,18,30
300,10,33
350,16,31
500,28,41
290,10,33
140,2.5,25
320,7,43
350,18,30
80,0,20
400,11,47
460,27,37
360,9,43
390,18,44
350,12,48
420,13,46
390,13,36
300,12,44
300,4,57
300,3.5,60
